2024-12-30 12:31:08 - Model: SimpleCNN_1230_UE
2024-12-30 12:31:08 - Learning rate: 0.001
2024-12-30 12:31:08 - Number of epochs: 64
2024-12-30 12:31:08 - Train batch size: 64
2024-12-30 12:31:08 - Test batch size: 64
2024-12-30 12:31:08 - Federated learning epochs: 100
2024-12-30 12:31:08 - Number of clients: 10
2024-12-30 12:31:13 - Before train, fl0Client4 gNB_test Accuracy  12.34 %
2024-12-30 12:31:13 - Before train, fl0Client4 client_test Accuracy  13.4 %
2024-12-30 12:35:23 - running Epoch:26, round:78,avg_loss is 0.0001325194380921017
2024-12-30 12:35:25 - running Epoch:27, round:78,avg_loss is 0.00012267891596118578
2024-12-30 12:35:26 - running Epoch:28, round:78,avg_loss is 0.00011270589560279151
2024-12-30 12:35:27 - running Epoch:29, round:78,avg_loss is 0.00010363757481380023
2024-12-30 12:35:28 - running Epoch:30, round:78,avg_loss is 9.52612398221022e-05
2024-12-30 12:35:29 - running Epoch:31, round:78,avg_loss is 8.813057552921421e-05
2024-12-30 12:35:30 - running Epoch:32, round:78,avg_loss is 8.25134702148417e-05
2024-12-30 12:35:31 - running Epoch:33, round:78,avg_loss is 7.673385178211993e-05
2024-12-30 12:35:33 - running Epoch:34, round:78,avg_loss is 7.083176228949429e-05
2024-12-30 12:35:34 - running Epoch:35, round:78,avg_loss is 6.585929238294912e-05
2024-12-30 12:35:35 - running Epoch:36, round:78,avg_loss is 6.193630975712373e-05
2024-12-30 12:35:36 - running Epoch:37, round:78,avg_loss is 5.8125103891995155e-05
2024-12-30 12:35:37 - running Epoch:38, round:78,avg_loss is 5.435100863422444e-05
2024-12-30 12:35:38 - running Epoch:39, round:78,avg_loss is 5.063250539968044e-05
2024-12-30 12:35:40 - running Epoch:40, round:78,avg_loss is 4.698101853551358e-05
2024-12-30 12:35:41 - running Epoch:41, round:78,avg_loss is 4.4018172070824634e-05
2024-12-30 12:35:42 - running Epoch:42, round:78,avg_loss is 4.155143455412869e-05
2024-12-30 12:35:43 - running Epoch:43, round:78,avg_loss is 3.998385370864468e-05
2024-12-30 12:35:44 - running Epoch:44, round:78,avg_loss is 3.655721881346559e-05
2024-12-30 12:35:45 - running Epoch:45, round:78,avg_loss is 3.4210326887233935e-05
2024-12-30 12:35:47 - running Epoch:46, round:78,avg_loss is 3.2192232123910614e-05
2024-12-30 12:35:48 - running Epoch:47, round:78,avg_loss is 3.1067203871074684e-05
2024-12-30 12:35:49 - running Epoch:48, round:78,avg_loss is 2.9127244258084324e-05
2024-12-30 12:35:50 - running Epoch:49, round:78,avg_loss is 2.702511840111641e-05
2024-12-30 12:35:51 - running Epoch:50, round:78,avg_loss is 2.5839126649345096e-05
2024-12-30 12:35:52 - running Epoch:51, round:78,avg_loss is 2.3884416137500723e-05
2024-12-30 12:35:53 - running Epoch:52, round:78,avg_loss is 2.23238027927759e-05
2024-12-30 12:35:55 - running Epoch:53, round:78,avg_loss is 2.0962340835168e-05
2024-12-30 12:35:56 - running Epoch:54, round:78,avg_loss is 1.958326327186586e-05
2024-12-30 12:35:57 - running Epoch:55, round:78,avg_loss is 1.8617031821145536e-05
2024-12-30 12:35:58 - running Epoch:56, round:78,avg_loss is 1.7192907796902256e-05
2024-12-30 12:35:59 - running Epoch:57, round:78,avg_loss is 1.6246155437444562e-05
2024-12-30 12:36:00 - running Epoch:58, round:78,avg_loss is 1.5172245288271416e-05
2024-12-30 12:36:01 - running Epoch:59, round:78,avg_loss is 1.411592398377436e-05
2024-12-30 12:36:03 - running Epoch:60, round:78,avg_loss is 1.3259216872558934e-05
2024-12-30 12:36:04 - running Epoch:61, round:78,avg_loss is 1.2375421330851836e-05
2024-12-30 12:36:05 - running Epoch:62, round:78,avg_loss is 1.1814273743248468e-05
2024-12-30 12:36:06 - running Epoch:63, round:78,avg_loss is 1.0947677776728803e-05
2024-12-30 12:36:07 - After train, fl1Client9 gNB_test Accuracy  63.29 %
2024-12-30 12:36:08 - After train, fl1Client9 Test Accuracy  63.6 %
2024-12-30 12:36:09 - Before train, fl1Client2 gNB_test Accuracy  54.190000000000005 %
2024-12-30 12:36:09 - Before train, fl1Client2 client_test Accuracy  55.50000000000001 %
2024-12-30 12:36:10 - running Epoch:0, round:78,avg_loss is 1.2971137113209013
2024-12-30 12:36:12 - running Epoch:1, round:78,avg_loss is 0.954490913620478
2024-12-30 12:36:13 - running Epoch:2, round:78,avg_loss is 0.6850996194761011
2024-12-30 12:36:14 - running Epoch:3, round:78,avg_loss is 0.4832373446301569
2024-12-30 12:36:15 - running Epoch:4, round:78,avg_loss is 0.273569369806519
2024-12-30 12:36:16 - running Epoch:5, round:78,avg_loss is 0.1570912983881522
2024-12-30 12:36:17 - running Epoch:6, round:78,avg_loss is 0.08173714938891839
2024-12-30 12:36:18 - running Epoch:7, round:78,avg_loss is 0.06567154307201316
2024-12-30 12:36:20 - running Epoch:8, round:78,avg_loss is 0.015037282075308547
2024-12-30 12:36:21 - running Epoch:9, round:78,avg_loss is 0.010120810249737829
2024-12-30 12:36:22 - running Epoch:10, round:78,avg_loss is 0.0027776989316614935
2024-12-30 12:36:23 - running Epoch:11, round:78,avg_loss is 0.0011353781185248467
2024-12-30 12:36:24 - running Epoch:12, round:78,avg_loss is 0.0007914194586330175
2024-12-30 12:36:25 - running Epoch:13, round:78,avg_loss is 0.0006323804621307675
2024-12-30 12:36:26 - running Epoch:14, round:78,avg_loss is 0.0005257722755519767
2024-12-30 12:36:28 - running Epoch:15, round:78,avg_loss is 0.00044997785604393843
2024-12-30 12:36:29 - running Epoch:16, round:78,avg_loss is 0.0003888270008315839
2024-12-30 12:36:30 - running Epoch:17, round:78,avg_loss is 0.00034147124539300375
2024-12-30 12:36:31 - running Epoch:18, round:78,avg_loss is 0.0003006084451136545
2024-12-30 12:36:32 - running Epoch:19, round:78,avg_loss is 0.0002689170277208868
2024-12-30 12:36:33 - running Epoch:20, round:78,avg_loss is 0.00024094674329176144
2024-12-30 12:36:34 - running Epoch:21, round:78,avg_loss is 0.00021753011490925674
